,table_index,table_size,party_size,enter_time,leaving_time,bill_amount
0,1,2,2,1538444186.0690446,1538446334.8708518,22.98883472100735
1,1,2,2,1538446334.8708518,1538448145.751237,36.00695325897955
2,1,2,2,1538448145.751237,1538449999.276245,27.813938306014382
3,1,2,2,1538450579.201668,1538452325.5763247,25.354997222819193
4,1,2,2,1538452325.5763247,1538453783.3943434,15.615396739281064
5,2,2,1,1538445702.300143,1538447220.07092,31.453782701736444
6,2,2,2,1538447220.07092,1538449366.2031054,41.42285004758992
7,2,2,1,1538451740.6524096,1538453827.164154,11.403222383392837
8,3,2,2,1538443296.0927317,1538444946.4694643,23.124521352323733
9,3,2,1,1538445968.0486143,1538447942.578355,27.93127658888835
10,3,2,2,1538447942.578355,1538449822.120404,30.491503699003143
11,3,2,2,1538451934.6733751,1538454143.9170532,24.794557869713355
12,4,2,1,1538445649.778497,1538447499.70063,23.680191798282486
13,4,2,2,1538447499.70063,1538448981.061942,55.12280946816831
14,4,2,1,1538449061.531701,1538450633.551357,18.901000999521965
15,5,4,4,1538442009.2571385,1538444366.713296,39.41682566181767
16,5,4,3,1538444366.713296,1538446284.2561235,22.342974516765324
17,5,4,4,1538446284.2561235,1538448435.3966885,57.95635528926822
18,5,4,4,1538448938.9453301,1538451468.372013,30.62026078761619
19,5,4,3,1538451832.0085607,1538453809.4263394,46.01894959708915
20,6,4,2,1538443085.6176834,1538444797.9440236,20.518626646192924
21,6,4,1,1538444797.9440236,1538446820.6008885,20.87496706290475
22,6,4,2,1538446820.6008885,1538449044.6035378,8.92605548229708
23,6,4,4,1538449044.6035378,1538450873.4890275,34.448569979229916
24,6,4,4,1538450873.4890275,1538453180.6579537,39.15499723577871
25,7,4,3,1538442140.4441893,1538444157.2924902,44.51466337329648
26,7,4,3,1538444157.2924902,1538445961.1143577,15.031172434326123
27,7,4,4,1538446660.2941992,1538448362.2723124,36.8979700801057
28,7,4,1,1538448832.7493596,1538450571.3562896,47.23317519062879
29,7,4,3,1538451112.8171718,1538452209.9004302,60.950374050411284
30,7,4,1,1538452209.9004302,1538454188.1170075,4.44597817459738
31,8,4,2,1538442118.4290802,1538444223.719667,33.81692976343247
32,8,4,3,1538446028.3941786,1538447791.6305957,43.39340491191864
33,8,4,2,1538449198.7687178,1538450819.6328964,46.396721446497615
34,8,4,2,1538450819.6328964,1538453044.513305,33.40939594089038
35,9,6,2,1538443302.5133543,1538445172.2786062,35.55125545319379
36,9,6,4,1538446040.1070416,1538447865.2546778,14.768629130377068
37,9,6,3,1538450994.4725575,1538453024.3177288,24.206764527305744
38,10,6,2,1538442696.8260427,1538444682.9740589,12.966476820820036
39,10,6,2,1538445048.6813288,1538447074.9478984,21.014218343976324
40,10,6,2,1538447074.9478984,1538448919.616441,30.270820344140795
41,10,6,3,1538448919.616441,1538450810.8918517,45.72923609968974
42,10,6,3,1538450810.8918517,1538452830.859623,29.841759358127987
43,11,6,4,1538444424.5465477,1538446909.3641481,37.078706711110094
44,11,6,3,1538446909.3641481,1538448557.8804293,41.298613711336856
45,11,6,1,1538448557.8804293,1538450385.847602,21.346309185435878
46,11,6,5,1538451567.7638125,1538453221.7660573,32.43841771674497
47,12,6,2,1538444540.7093835,1538447102.4677775,34.52753774651192
48,12,6,3,1538447102.4677777,1538449138.650843,11.363188673082224
49,12,6,3,1538449751.8238847,1538451448.0264928,5.573874502351856
50,12,6,1,1538451448.0264926,1538452693.424467,17.489782841103313
51,12,6,4,1538452693.4244673,1538454974.4442558,41.5257234275787
52,1,2,2,1538528484.5677774,1538530630.5660362,28.9466986403658
53,1,2,2,1538530630.566036,1538532805.1973853,20.110726054270867
54,1,2,2,1538532805.1973855,1538534925.7082157,19.22415181392305
55,1,2,2,1538534925.7082157,1538536786.8860946,10.349769682435959
56,1,2,1,1538536786.8860946,1538538528.595022,17.508364245185046
57,1,2,2,1538538528.595022,1538540186.4209461,21.33002993461333
58,2,2,1,1538531265.4485285,1538532317.404387,13.881326730551867
59,2,2,2,1538532368.13135,1538534377.3036964,29.807771540885195
60,2,2,2,1538534377.3036966,1538536374.0278723,33.042599578928744
61,2,2,2,1538536374.0278723,1538538191.0849369,29.47555968765066
62,2,2,2,1538538191.0849369,1538539607.3413782,17.463345810398117
63,3,2,1,1538531128.3621778,1538533293.8383617,22.105436185183574
64,3,2,2,1538533293.8383617,1538534919.8182154,23.79387385985661
65,3,2,2,1538535009.578298,1538536495.5471342,27.786763400173
66,3,2,2,1538536495.5471342,1538538124.214124,30.42002091000533
67,4,2,2,1538529049.513975,1538531620.6565416,28.843681034709956
68,4,2,1,1538531620.6565416,1538533599.323058,24.231281204429983
69,4,2,2,1538534900.1349523,1538537162.000174,27.245709681453384
70,5,4,1,1538529798.0392892,1538531856.8207753,28.663046346875724
71,5,4,3,1538531856.8207755,1538533681.8142166,54.03396940370364
72,5,4,4,1538534117.0335906,1538535564.1026592,22.28535561004215
73,5,4,4,1538535564.1026592,1538538113.508907,59.222500004768136
74,5,4,2,1538538113.508907,1538540560.5552297,39.51549463876693
75,6,4,4,1538528774.1714022,1538530398.6500275,38.69772348885818
76,6,4,3,1538530398.6500275,1538531984.1558871,22.104934247006774
77,6,4,1,1538531984.1558871,1538534422.0057268,34.58249754996808
78,6,4,2,1538534422.0057268,1538536267.922547,35.83974268778974
79,6,4,2,1538536267.922547,1538538658.4322648,7.980273210451401
80,6,4,3,1538538658.4322648,1538540024.792774,33.80120042814348
81,7,4,2,1538529877.334949,1538531746.3811734,22.706883690553326
82,7,4,2,1538531746.3811734,1538533488.3589864,19.27011644070365
83,7,4,2,1538533488.3589864,1538536279.5200384,28.058802678667355
84,7,4,3,1538536279.5200381,1538538192.3265932,29.668054558030935
85,8,4,2,1538528636.729917,1538530626.3854635,33.13785032600111
86,8,4,4,1538532734.4254134,1538534405.212712,30.973216552248658
87,8,4,4,1538535583.2577522,1538537142.5395708,46.95691779108629
88,8,4,4,1538537142.5395708,1538538913.9139087,53.66343176641799
89,8,4,2,1538538913.9139085,1538540496.4203982,36.23858780307288
90,10,6,4,1538528777.7197652,1538530641.295343,44.54228064547934
91,10,6,4,1538530641.295343,1538532432.3956676,42.38569166702718
92,10,6,4,1538534263.7391243,1538536267.1647718,44.247509597850865
93,10,6,1,1538536267.164772,1538537721.277387,22.433911763128258
94,10,6,2,1538537721.2773867,1538539784.8836424,25.240789640836233
95,11,6,2,1538531283.1323104,1538532456.4812777,13.388143582380492
96,11,6,1,1538539056.2706888,1538541172.867521,2.3914528625380704
97,12,6,5,1538528747.567787,1538530227.5507262,29.394793518107694
98,12,6,2,1538531782.7983835,1538533292.423928,34.7819026294205
99,12,6,3,1538533292.423928,1538535236.5141032,24.085511761085733
100,12,6,1,1538535289.9252293,1538536867.9542656,28.27828831818383
101,12,6,5,1538538113.768096,1538540086.4750712,32.98017543931694
102,1,2,2,1538615092.9699337,1538616868.5346043,16.0869236793653
103,1,2,2,1538618594.3834765,1538619885.985001,31.534641013434808
104,1,2,2,1538620464.5727384,1538622632.0153902,24.063646040228694
105,1,2,2,1538622632.0153902,1538624687.581905,31.132574529341206
106,1,2,1,1538624687.581905,1538626302.1079729,20.02422840938935
107,2,2,1,1538616834.8503473,1538618905.8604326,13.87348073631046
108,2,2,2,1538619487.3657315,1538621158.2642577,24.695021284566153
109,2,2,2,1538621158.2642577,1538623458.2177424,22.778462046203323
110,2,2,2,1538623458.2177427,1538625456.4315526,32.6673429067576
111,2,2,2,1538625484.0129786,1538627633.3731208,26.129867488397867
112,3,2,2,1538617865.5780122,1538619511.649287,18.599510128600652
113,3,2,1,1538619511.649287,1538621637.0477688,8.27396450122651
114,3,2,1,1538621637.0477688,1538623533.7747304,27.447587062662258
115,3,2,1,1538623533.7747304,1538625130.1364183,28.893806312290657
116,3,2,1,1538625130.1364183,1538626772.9685848,15.193610537911159
117,4,2,2,1538617515.3680565,1538618956.4117856,3.3436229907115234
118,4,2,1,1538618956.4117856,1538620604.9068997,30.630987113467803
119,4,2,2,1538620604.9068995,1538622822.3708222,45.103995766725234
120,4,2,2,1538622822.3708222,1538624511.1214693,24.510515105581693
121,4,2,2,1538624511.1214693,1538626742.8932416,36.97600260017695
122,5,4,3,1538615576.0597198,1538617183.2491705,53.27792090781693
123,5,4,4,1538617183.2491705,1538619560.4957037,15.067729309612204
124,5,4,2,1538619560.495704,1538621563.3211727,24.836269550915752
125,5,4,2,1538621563.3211727,1538623455.6134262,36.55972245478101
126,5,4,2,1538623455.6134262,1538625555.0374007,28.564842590633845
127,5,4,2,1538625555.0374007,1538627372.3426485,16.087312564386018
128,6,4,3,1538616257.8223581,1538617803.486787,46.15419094828849
129,6,4,2,1538618545.892707,1538620186.1001933,27.289361881633994
130,6,4,2,1538620186.1001933,1538621564.611357,24.352826725181863
131,6,4,4,1538625246.914776,1538626999.3576496,49.76131025198679
132,7,4,2,1538617157.1369736,1538619215.1198978,2.4497207067800524
133,8,4,3,1538616338.04616,1538617738.2778008,23.42534312109025
134,8,4,2,1538617738.2778008,1538618994.106566,13.026628676366538
135,8,4,2,1538618994.106566,1538620677.63309,19.028759018719143
136,8,4,2,1538620942.692483,1538622581.6560855,20.12790380681095
